,Name,Gender,Aliases,playedBy
0,High Septon,Male,['The High Sparrow'],['Jonathan Pryce']
1,Margaery Tyrell,Female,"['The Little Queen', 'The Little Rose', 'Maid Margaery']",['Natalie Dormer']
2,Melicent,Female,[''],['']
3,Meribald,Male,[''],['']
4,Moelle,Female,[''],['']
5,Mordane,Female,[''],['Susan Brown']
6,Nysterica,Female,[''],['']
7,Ollidor,Male,[''],['']
8,Osmynd,Male,[''],['']
9,Raynard,Male,[''],['']
10,Scolera,Female,[''],['']
11,Torbert,Male,[''],['']
12,Tywin Lannister,Male,"['The Lion of Lannister', 'The Old Lion', 'The Great Lion of the Rock']",['Charles Dance']
13,Unella,Female,[''],['Hannah Waddingham']
14,Abelar Hightower,Male,[''],['']
15,Addam Frey,Male,[''],['']
16,Addam Marbrand,Male,[''],['B.J. Hogg']
17,Addam Osgrey,Male,[''],['']
18,Addam Velaryon,Male,['Addam of Hull'],['']
19,Addison Hill,Male,['The Bastard of Cornfield'],['']
20,Aegon Blackfyre,Male,[''],['']
21,Aegon Frey,Male,['Jinglebell'],['']
22,Aegon Frey,Male,['Aegon Bloodborn'],['']
23,Aegon I,Male,"['Aegon the Conqueror', 'Aegon the Dragon', 'Aegon the Dragonlord']",['']
24,Aegon II,Male,"['Aegon the Elder', 'Aegon the Usurper']",['']
25,Aegon III,Male,"['Aegon the Younger', 'Aegon the Dragonbane', 'Aegon the Unlucky', 'The Broken King']",['']
26,Aegon IV,Male,['Aegon the Unworthy'],['']
27,Aegon Targaryen,Male,['Young Griff'],['']
28,Aegon Targaryen,Male,[''],['']
29,Aegon Targaryen,Male,[''],['']
30,Aegon Targaryen,Male,[''],['']
31,Aegon V,Male,"['Aegon the Unlikely', 'Aegon the Fortunate', 'The Prince Who Was An Eggg']",['']
32,Aegor Rivers,Male,['Bittersteel'],['']
33,Aelinor Penrose,Female,[''],['']
34,Aemma Arryn,Female,[''],['']
35,Aemon Blackfyre,Male,[''],['']
36,Aemon Costayne,Male,[''],['']
37,Aemon Estermont,Male,[''],['']
38,Aemon Rivers,Male,[''],['']
39,Aemon Targaryen,Male,"['Aemon Targaryen', 'Maester Aemon', 'Uncle Maester']",['Peter Vaughan']
40,Aemond Targaryen,Male,['Aemond One-Eye Aemond the Kinslayer'],['']
41,Aenys Frey,Male,[''],['']
42,Aenys I,Male,[''],['']
43,Aerion Targaryen,Male,"['Brightflame', 'Aerion the Monstrous', 'The Bright Prince', 'The Prince Who Thought He Was a Dragon']",['']
44,Aerion Targaryen,Male,[''],['']
45,Aeron Greyjoy,Male,"['The Damphair', 'Aeron Damphair']",['Michael Feast']
46,Aerys I,Male,[''],['']
47,Aerys II,Male,"['The Mad King', 'King Scab']",['David Rintoul']
48,Aglantine,Female,[''],['']
49,Aladale Wynch,Male,[''],['']
50,Alan,Male,"[""Alan o' the Oak"", 'The Blind Bowman']",['']
51,Alannys Harlaw,Female,['Lanny'],['']
52,Albar Royce,Male,[''],['']
53,Alekyne Florent,Male,[''],['']
54,Alerie Hightower,Female,[''],['']
55,Alesander Frey,Male,[''],['']
56,Alesander Staedmon,Male,['the Pennylover'],['']
57,Alester Florent,Male,[''],['']
58,Alester Norcross,Male,[''],['']
59,Alester Oakheart,Male,[''],['']
60,Alester Tyrell,Male,[''],['']
61,Alicent Hightower,Female,[''],['']
62,Alla Tyrell,Female,[''],['']
63,Allar Deem,Male,[''],['']
64,Alliser Thorne,Male,[''],['Owen Teale']
65,Allyria Dayne,Female,[''],['']
66,Alyce Graceford,Female,[''],['']
67,Alyn Ambrose,Male,[''],['']
68,Alyn Cockshaw,Male,[''],['']
69,Alyn Connington,Male,['The Pale Griffin'],['']
70,Alyn Estermont,Male,[''],['']
71,Alyn Frey,Male,[''],['']
72,Alyn Haigh,Male,[''],['']
73,Alyn Hunt,Male,[''],['']
74,Alyn Stackspear,Male,[''],['']
75,Alyn Tarbeck,Male,[''],['']
76,Alyn Velaryon,Male,"['Alyn of Hull', 'The Oakenfist', 'Lord Oakenfist']",['']
77,Alys Arryn,Female,[''],['']
78,Alys Arryn,Female,[''],['']
79,Alys Beesbury,Female,[''],['']
80,Alys Frey,Female,[''],['']
81,Alys Karstark,Female,[''],['']
82,Alys Karstark,Female,[''],['']
83,Alys Karstark,Female,[''],['']
84,Alysane Mormont,Female,['The Young She-Bear'],['']
85,Alysanne Bulwer,Female,[''],['']
86,Alysanne Farman,Female,[''],['']
87,Alysanne Hightower,Female,[''],['']
88,Alysanne Lefford,Female,[''],['']
89,Alysanne Osgrey,Female,[''],['']
90,Alysanne Targaryen,Female,['Good Queen Alysanne'],['']
91,Alysanne Tarth,Female,[''],['']
92,Alyssa Arryn,Female,[''],['']
93,Alyssa Blackwood,Female,[''],['']
94,Alyssa Targaryen,Female,[''],['']
95,Alyssa Velaryon,Female,[''],['']
96,Alyx Frey,Female,[''],['']
97,Amarei Crakehall,Female,[''],['']
98,Ambrose Butterwell,Male,"['Old Milkblood', 'The lord of cows', 'Lord Butterbutt']",['']
99,Amerei Frey,Female,['Gatehouse Ami'],['']
100,Amory Lorch,Male,['The Manticore'],['Fintan McKeown']
101,Andar Royce,Male,[''],['']
102,Anders Yronwood,Male,[''],['']
103,Andrew Estermont,Male,[''],['']
104,Andrey Charlton,Male,[''],['']
105,Andros Brax,Male,[''],['']
106,Androw Ashford,Male,[''],['']
107,Androw Frey,Male,[''],['']
108,Annara Farring,Female,[''],['']
109,Antario Jast,Male,[''],['']
110,Anya Waynwood,Female,[''],['Paola Dionisotti']
111,Archibald Yronwood,Male,"['Big Man', 'Ser Greenguts']",['']
112,Ardrian Celtigar,Male,['the Red Crab'],['']
113,Argella Durrandon,Female,[''],['']
114,Argilac Durrandon,Male,['Argilac the Arrogant'],['']
115,Arianne Martell,Female,[''],['']
116,Arianne Tarth,Female,[''],['']
117,Arlan of Pennytree,Male,[''],['']
118,Armond Caswell,Male,[''],['']
119,Arnolf Karstark,Male,['Lord Arnolf'],['']
120,Aron Santagar,Male,[''],['']
121,Arra Norrey,Female,[''],['']
122,Arrec Durrandon,Male,[''],['']
123,Arron Qorgyle,Male,[''],['']
124,Arstan Selmy,Male,[''],['']
125,Arthor Karstark,Male,[''],['']
126,Arthur Ambrose,Male,[''],['']
127,Arthur Dayne,Male,[''],['Luke Roberts']
128,Artos Stark,Male,['Artos the Implacable'],['']
129,Artys I Arryn,Male,"['Falcon Knight', 'Winged Knight']",['']
130,Arwood Frey,Male,[''],['']
131,Arwyn Frey,Female,[''],['']
132,Arwyn Oakheart,Female,[''],['']
133,Arya Stark,Female,"['Arya Horseface', 'Arya Underfoot', 'Arry', 'Lumpyface', 'Lumpyhead', 'Stickboy', 'Weasel', 'Nymeria', 'Squan', 'Saltb', 'Cat of the Canaly', 'Bets', 'The Blind Girh', 'The Ugly Little Girl', 'Mercedenl', 'Mercye']",['Maisie Williams']
134,Arys Oakheart,Male,[''],['']
